year,province_code,province_name_ko,province_name_en,sex,age_group,population,population_type,reference_date
2000,31,울산광역시,Ulsan,male,40-44,51590,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,45-49,35203,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,50-54,23864,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,55-59,16461,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,60-64,11467,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,65-69,7065,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,70-74,3792,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,75-79,2124,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,80-84,1063,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,85+,474,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,0-4,38842,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,5-9,43219,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,10-14,36096,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,15-19,40624,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,20-24,37764,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,25-29,46191,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,30-34,56371,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,35-39,53188,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,40-44,47494,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,45-49,31385,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,50-54,20031,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,55-59,15231,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,60-64,12629,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,65-69,9830,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,70-74,7509,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,75-79,5366,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,80-84,2975,registered,2000-12-31
2000,31,울산광역시,Ulsan,female,85+,1921,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,0-4,383638,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,5-9,430576,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,10-14,340068,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,15-19,329984,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,20-24,321959,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,25-29,419326,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,30-34,497145,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,35-39,518272,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,40-44,454967,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,45-49,279957,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,50-54,194255,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,55-59,156864,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,60-64,131665,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,65-69,89811,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,70-74,52663,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,75-79,33522,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,80-84,16356,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,male,85+,7495,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,0-4,352331,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,5-9,389403,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,10-14,316053,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,15-19,313687,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,20-24,315366,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,25-29,428393,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,30-34,500535,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,35-39,475656,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,40-44,393030,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,45-49,246571,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,50-54,183509,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,55-59,167644,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,60-64,153680,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,65-69,122611,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,70-74,88823,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,75-79,59351,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,80-84,32622,registered,2000-12-31
2000,41,경기도,Gyeonggi-do,female,85+,21553,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,0-4,53083,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,5-9,59146,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,10-14,52211,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,15-19,61428,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,20-24,66404,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,25-29,67665,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,30-34,67733,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,35-39,66662,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,40-44,63656,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,45-49,45217,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,50-54,33323,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,55-59,32614,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,60-64,31532,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,65-69,22502,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,70-74,13721,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,75-79,9327,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,80-84,4559,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,male,85+,2170,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,0-4,48314,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,5-9,51916,registered,2000-12-31
