Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,1997,Saraburi,female,5-9,20527,5,1,child_0_14
Thailand,1997,Saraburi,female,10-14,19503,10,2,child_0_14
Thailand,1997,Saraburi,female,15-19,21991,15,3,working_age_15_64
Thailand,1997,Saraburi,female,20-24,24074,20,4,working_age_15_64
Thailand,1997,Saraburi,female,25-29,26943,25,5,working_age_15_64
Thailand,1997,Saraburi,female,30-34,27525,30,6,working_age_15_64
Thailand,1997,Saraburi,female,35-39,24244,35,7,working_age_15_64
Thailand,1997,Saraburi,female,40-44,19983,40,8,working_age_15_64
Thailand,1997,Saraburi,female,45-49,14850,45,9,working_age_15_64
Thailand,1997,Saraburi,female,50-54,10968,50,10,working_age_15_64
Thailand,1997,Saraburi,female,55-59,10641,55,11,working_age_15_64
Thailand,1997,Saraburi,female,60-64,9087,60,12,working_age_15_64
Thailand,1997,Saraburi,female,65-69,7442,65,13,older_adult_65_plus
Thailand,1997,Saraburi,female,70-74,5208,70,14,older_adult_65_plus
Thailand,1997,Saraburi,female,75-79,3244,75,15,older_adult_65_plus
Thailand,1997,Saraburi,female,80-84,2162,80,16,older_adult_65_plus
Thailand,1997,Saraburi,female,85+,1924,85,17,older_adult_65_plus
Thailand,1997,Chon Buri,male,0-4,40222,0,0,child_0_14
Thailand,1997,Chon Buri,male,5-9,38433,5,1,child_0_14
Thailand,1997,Chon Buri,male,10-14,36882,10,2,child_0_14
Thailand,1997,Chon Buri,male,15-19,42842,15,3,working_age_15_64
Thailand,1997,Chon Buri,male,20-24,52045,20,4,working_age_15_64
Thailand,1997,Chon Buri,male,25-29,51154,25,5,working_age_15_64
Thailand,1997,Chon Buri,male,30-34,49120,30,6,working_age_15_64
Thailand,1997,Chon Buri,male,35-39,43006,35,7,working_age_15_64
Thailand,1997,Chon Buri,male,40-44,33492,40,8,working_age_15_64
Thailand,1997,Chon Buri,male,45-49,24062,45,9,working_age_15_64
